case,precision,recall,f1,iou,TP_pixels,FP_pixels,FN_pixels
BEST,0.8955311830174577,0.9076724376059121,0.9015609353199707,0.8207655437791075,121580,14183,12367
TYPICAL,0.751563890654795,0.7319234031488121,0.7416136322281656,0.5893369890328984,118221,39079,43300
HARD,0.6442580913437992,0.5140739921473065,0.5718503932070855,0.40041350792555996,18592,10266,17574
